date,cemetery,graves_best,burial_rate,burial_rate_lag
2016-02-20,Barakaat 1,0,NA,2.870967741935484
2017-02-26,Barakaat 1,1068,2.870967741935484,3.629513343799058
2018-11-25,Barakaat 1,3380,3.629513343799058,3.23728813559322
2019-01-23,Barakaat 1,3571,3.23728813559322,4.16557734204793
2020-04-26,Barakaat 1,5483,4.16557734204793,0.9393939393939394
2020-05-29,Barakaat 1,5514,0.9393939393939394,3.176470588235294
2020-06-15,Barakaat 1,5568,3.176470588235294,0
2020-06-23,Barakaat 1,5568,0,0
2020-07-07,Barakaat 1,5568,0,0
2020-08-18,Barakaat 1,5568,0,0
2020-09-27,Barakaat 1,5568,0,0
2020-10-01,Barakaat 1,5568,0,0
2019-11-17,Barakaat 2,0,NA,0.24242424242424243
2020-01-22,Barakaat 2,16,0.24242424242424243,6.16
2020-02-16,Barakaat 2,170,6.16,7.487179487179487
2020-03-26,Barakaat 2,462,7.487179487179487,8.03125
2020-05-29,Barakaat 2,976,8.03125,9.483870967741936
2020-06-29,Barakaat 2,1270,9.483870967741936,12.75
2020-07-11,Barakaat 2,1423,12.75,4.5
2020-08-24,Barakaat 2,1621,4.5,11.59375
2020-09-25,Barakaat 2,1992,11.59375,11.59375
2016-01-19,Calamada,0,NA,2.771067415730337
2017-12-31,Calamada,1973,2.771067415730337,3.2478991596638656
2018-08-26,Calamada,2746,3.2478991596638656,2.0789473684210527
2018-12-18,Calamada,2983,2.0789473684210527,4.494736842105263
2019-06-26,Calamada,3837,4.494736842105263,2.6635944700460827
2020-01-29,Calamada,4415,2.6635944700460827,1.75
2020-02-10,Calamada,4436,1.75,1.5454545454545454
2020-03-03,Calamada,4470,1.5454545454545454,3.185185185185185
2020-04-26,Calamada,4642,3.185185185185185,3.981818181818182
2020-06-20,Calamada,4861,3.981818181818182,3.3863636363636362
2020-09-16,Calamada,5159,3.3863636363636362,3.3863636363636362
2016-11-02,Iskool Bolisii,0,NA,3.857142857142857
2017-01-04,Iskool Bolisii,243,3.857142857142857,0.17328042328042328
2019-01-30,Iskool Bolisii,374,0.17328042328042328,0.06947890818858561
2020-03-08,Iskool Bolisii,402,0.06947890818858561,0.5666666666666667
2020-04-07,Iskool Bolisii,419,0.5666666666666667,1.763157894736842
2020-05-15,Iskool Bolisii,486,1.763157894736842,3.6538461538461537
2020-06-10,Iskool Bolisii,581,3.6538461538461537,2.78
2020-07-30,Iskool Bolisii,720,2.78,2.78
2016-10-03,Kahda,0,NA,0.8279569892473119
2017-01-04,Kahda,77,0.8279569892473119,0.6791666666666667
2018-04-29,Kahda,403,0.6791666666666667,0.7769953051643192
2019-06-29,Kahda,734,0.7769953051643192,0.9065420560747663
2020-01-29,Kahda,928,0.9065420560747663,2.7777777777777777
2020-02-16,Kahda,978,2.7777777777777777,1.2666666666666666
2020-03-17,Kahda,1016,1.2666666666666666,2.073170731707317
2020-04-27,Kahda,1101,2.073170731707317,1.9375
2020-05-29,Kahda,1163,1.9375,1
2020-06-10,Kahda,1175,1,0.7407407407407407
2020-07-07,Kahda,1195,0.7407407407407407,1.5731707317073171
2020-09-27,Kahda,1324,1.5731707317073171,0.25
2020-10-01,Kahda,1325,0.25,0.25
2016-01-07,Moallim Nuur,0,NA,5.553333333333334
2016-11-02,Moallim Nuur,1666,5.553333333333334,2.4292452830188678
2017-12-31,Moallim Nuur,2696,2.4292452830188678,2.2279635258358663
2018-11-25,Moallim Nuur,3429,2.2279635258358663,0.9675925925925926
2019-06-29,Moallim Nuur,3638,0.9675925925925926,0.5
2020-01-29,Moallim Nuur,3745,0.5,2.111111111111111
2020-02-16,Moallim Nuur,3783,2.111111111111111,0.5533980582524272
2020-05-29,Moallim Nuur,3840,0.5533980582524272,0
2020-06-10,Moallim Nuur,3840,0,0.2903225806451613
2020-07-11,Moallim Nuur,3849,0.2903225806451613,0.18421052631578946
2020-08-18,Moallim Nuur,3856,0.18421052631578946,0
2020-09-25,Moallim Nuur,3856,0,0
