cemetery,time_base,date,graves_best
Barakaat 2,0,2016-01-07,0
Moallim Nuur,0,2016-01-07,0
Barakaat 2,1,2016-01-08,0
Barakaat 2,2,2016-01-09,0
Barakaat 2,3,2016-01-10,0
Barakaat 2,4,2016-01-11,0
Barakaat 2,5,2016-01-12,0
Barakaat 2,6,2016-01-13,0
Barakaat 2,7,2016-01-14,0
Barakaat 2,8,2016-01-15,0
Barakaat 2,9,2016-01-16,0
Barakaat 2,10,2016-01-17,0
Barakaat 2,11,2016-01-18,0
Barakaat 2,12,2016-01-19,0
Calamada,12,2016-01-19,0
Barakaat 2,13,2016-01-20,0
Barakaat 2,14,2016-01-21,0
Barakaat 2,15,2016-01-22,0
Barakaat 2,16,2016-01-23,0
Barakaat 2,17,2016-01-24,0
Barakaat 2,18,2016-01-25,0
Barakaat 2,19,2016-01-26,0
Barakaat 2,20,2016-01-27,0
Barakaat 2,21,2016-01-28,0
Barakaat 2,22,2016-01-29,0
Barakaat 2,23,2016-01-30,0
Barakaat 2,24,2016-01-31,0
Barakaat 2,25,2016-02-01,0
Barakaat 2,26,2016-02-02,0
Barakaat 2,27,2016-02-03,0
Barakaat 2,28,2016-02-04,0
Barakaat 2,29,2016-02-05,0
Barakaat 2,30,2016-02-06,0
Barakaat 2,31,2016-02-07,0
Barakaat 2,32,2016-02-08,0
Barakaat 2,33,2016-02-09,0
Barakaat 2,34,2016-02-10,0
Barakaat 2,35,2016-02-11,0
Barakaat 2,36,2016-02-12,0
Barakaat 2,37,2016-02-13,0
Barakaat 2,38,2016-02-14,0
Barakaat 2,39,2016-02-15,0
Barakaat 2,40,2016-02-16,0
Barakaat 2,41,2016-02-17,0
Barakaat 2,42,2016-02-18,0
Barakaat 2,43,2016-02-19,0
Barakaat 1,44,2016-02-20,0
Barakaat 2,44,2016-02-20,0
Barakaat 2,45,2016-02-21,0
Barakaat 2,46,2016-02-22,0
Barakaat 2,47,2016-02-23,0
Barakaat 2,48,2016-02-24,0
Barakaat 2,49,2016-02-25,0
Barakaat 2,50,2016-02-26,0
Barakaat 2,51,2016-02-27,0
Barakaat 2,52,2016-02-28,0
Barakaat 2,53,2016-02-29,0
Barakaat 2,54,2016-03-01,0
Barakaat 2,55,2016-03-02,0
Barakaat 2,56,2016-03-03,0
Barakaat 2,57,2016-03-04,0
Barakaat 2,58,2016-03-05,0
Barakaat 2,59,2016-03-06,0
Barakaat 2,60,2016-03-07,0
Barakaat 2,61,2016-03-08,0
Barakaat 2,62,2016-03-09,0
Barakaat 2,63,2016-03-10,0
Barakaat 2,64,2016-03-11,0
Barakaat 2,65,2016-03-12,0
Barakaat 2,66,2016-03-13,0
Barakaat 2,67,2016-03-14,0
Barakaat 2,68,2016-03-15,0
Barakaat 2,69,2016-03-16,0
Barakaat 2,70,2016-03-17,0
Barakaat 2,71,2016-03-18,0
Barakaat 2,72,2016-03-19,0
Barakaat 2,73,2016-03-20,0
Barakaat 2,74,2016-03-21,0
