"date","new_graves_best_ipol","new_graves_excess","new_graves_ocha"
2016-11-03,0,-10,NA
2016-11-04,13,3,NA
2016-11-05,12,2,NA
2016-11-06,12,2,NA
2016-11-07,13,3,NA
2016-11-08,14,4,NA
2016-11-09,12,2,NA
2016-11-10,12,2,NA
2016-11-11,14,4,NA
2016-11-12,13,3,NA
2016-11-13,13,3,NA
2016-11-14,11,1,NA
2016-11-15,14,4,NA
2016-11-16,12,2,NA
2016-11-17,13,3,NA
2016-11-18,13,3,NA
2016-11-19,13,3,NA
2016-11-20,13,3,NA
2016-11-21,13,3,NA
2016-11-22,11,1,NA
2016-11-23,13,3,NA
2016-11-24,13,3,NA
2016-11-25,14,4,NA
2016-11-26,13,3,NA
2016-11-27,12,2,NA
2016-11-28,12,2,NA
2016-11-29,13,3,NA
2016-11-30,13,3,NA
2016-12-01,12,2,NA
2016-12-02,14,4,NA
2016-12-03,13,3,NA
2016-12-04,12,2,NA
2016-12-05,13,3,NA
2016-12-06,13,3,NA
2016-12-07,12,2,NA
2016-12-08,13,3,NA
2016-12-09,13,3,NA
2016-12-10,12,2,NA
2016-12-11,13,3,NA
2016-12-12,13,3,NA
2016-12-13,14,4,NA
2016-12-14,12,2,NA
2016-12-15,11,1,NA
2016-12-16,14,4,NA
2016-12-17,13,3,NA
2016-12-18,13,3,NA
2016-12-19,12,2,NA
2016-12-20,14,4,NA
2016-12-21,12,2,NA
2016-12-22,13,3,NA
2016-12-23,12,2,NA
2016-12-24,13,3,NA
2016-12-25,13,3,NA
2016-12-26,13,3,NA
2016-12-27,12,2,NA
2016-12-28,13,3,NA
2016-12-29,13,3,NA
2016-12-30,13,3,NA
2016-12-31,13,3,NA
2017-01-01,12,2,NA
2017-01-02,12,2,NA
2017-01-03,14,4,NA
2017-01-04,13,3,NA
2017-01-05,8,-2,NA
2017-01-06,9,-1,NA
2017-01-07,9,-1,NA
2017-01-08,10,0,NA
2017-01-09,7,-3,NA
2017-01-10,10,0,NA
2017-01-11,9,-1,NA
2017-01-12,8,-2,NA
2017-01-13,11,1,NA
2017-01-14,8,-2,NA
2017-01-15,8,-2,NA
2017-01-16,9,-1,NA
2017-01-17,10,0,NA
2017-01-18,8,-2,NA
2017-01-19,9,-1,NA
2017-01-20,10,0,NA
2017-01-21,9,-1,NA
2017-01-22,9,-1,NA
2017-01-23,7,-3,NA
2017-01-24,10,0,NA
2017-01-25,9,-1,NA
2017-01-26,9,-1,NA
2017-01-27,9,-1,NA
2017-01-28,8,-2,NA
2017-01-29,10,0,NA
2017-01-30,9,-1,NA
2017-01-31,8,-2,NA
2017-02-01,9,-1,NA
2017-02-02,9,-1,NA
2017-02-03,9,-1,NA
2017-02-04,9,-1,NA
2017-02-05,10,0,NA
2017-02-06,8,-2,NA
2017-02-07,9,-1,NA
2017-02-08,9,-1,NA
2017-02-09,7,-3,NA
2017-02-10,10,0,NA
2017-02-11,10,0,NA
2017-02-12,9,-1,NA
2017-02-13,8,-2,NA
2017-02-14,10,0,NA
2017-02-15,8,-2,NA
2017-02-16,9,-1,NA
2017-02-17,10,0,NA
2017-02-18,8,-2,NA
2017-02-19,9,-1,NA
2017-02-20,9,-1,NA
2017-02-21,10,0,NA
2017-02-22,7,-3,NA
2017-02-23,10,0,NA
2017-02-24,9,-1,NA
2017-02-25,8,-2,NA
2017-02-26,10,0,NA
2017-02-27,9,-1,NA
2017-02-28,10,0,NA
2017-03-01,10,0,NA
2017-03-02,11,1,NA
2017-03-03,7,-3,NA
2017-03-04,10,0,NA
2017-03-05,10,0,NA
2017-03-06,10,0,NA
2017-03-07,10,0,NA
2017-03-08,9,-1,NA
2017-03-09,10,0,NA
2017-03-10,10,0,NA
2017-03-11,9,-1,NA
2017-03-12,11,1,NA
2017-03-13,8,-2,NA
2017-03-14,11,1,NA
2017-03-15,10,0,NA
2017-03-16,8,-2,NA
2017-03-17,10,0,NA
2017-03-18,11,1,NA
2017-03-19,9,-1,NA
2017-03-20,9,-1,NA
2017-03-21,10,0,NA
2017-03-22,9,-1,NA
2017-03-23,12,2,NA
2017-03-24,9,-1,NA
2017-03-25,8,-2,NA
2017-03-26,11,1,NA
2017-03-27,9,-1,NA
2017-03-28,10,0,NA
2017-03-29,10,0,NA
2017-03-30,10,0,NA
2017-03-31,9,-1,NA
2017-04-01,9,-1,NA
2017-04-02,10,0,NA
2017-04-03,9,-1,NA
2017-04-04,11,1,NA
2017-04-05,10,0,NA
2017-04-06,10,0,NA
2017-04-07,8,-2,NA
2017-04-08,10,0,NA
2017-04-09,10,0,NA
2017-04-10,10,0,NA
2017-04-11,10,0,NA
2017-04-12,9,-1,NA
2017-04-13,10,0,NA
2017-04-14,10,0,NA
2017-04-15,10,0,NA
2017-04-16,9,-1,NA
2017-04-17,9,-1,NA
2017-04-18,11,1,NA
2017-04-19,9,-1,NA
2017-04-20,9,-1,NA
2017-04-21,11,1,NA
2017-04-22,9,-1,NA
2017-04-23,10,0,NA
2017-04-24,9,-1,NA
2017-04-25,10,0,NA
2017-04-26,9,-1,NA
2017-04-27,12,2,NA
2017-04-28,8,-2,NA
2017-04-29,9,-1,NA
2017-04-30,11,1,NA
2017-05-01,8,-2,NA
2017-05-02,11,1,NA
2017-05-03,10,0,NA
2017-05-04,9,-1,NA
2017-05-05,10,0,NA
2017-05-06,9,-1,NA
2017-05-07,10,0,NA
2017-05-08,9,-1,NA
2017-05-09,11,1,NA
2017-05-10,10,0,NA
2017-05-11,10,0,NA
2017-05-12,8,-2,NA
2017-05-13,10,0,NA
2017-05-14,10,0,NA
2017-05-15,10,0,NA
2017-05-16,10,0,NA
2017-05-17,8,-2,NA
2017-05-18,11,1,NA
2017-05-19,10,0,NA
2017-05-20,9,-1,NA
2017-05-21,10,0,NA
2017-05-22,10,0,NA
