"epi_year","week","date","new_area_ipol"
2016,40,2016-10-09,415
2016,41,2016-10-16,579
2016,42,2016-10-23,579
2016,43,2016-10-30,579
2016,44,2016-11-06,508
2016,45,2016-11-13,453
2016,46,2016-11-20,454
2016,47,2016-11-27,453
2016,48,2016-12-04,454
2016,49,2016-12-11,453
2016,50,2016-12-18,454
2016,51,2016-12-25,455
2016,52,2017-01-01,454
2017,1,2017-01-08,453
2017,10,2017-03-12,713
2017,11,2017-03-19,712
2017,12,2017-03-26,711
2017,13,2017-04-02,713
2017,14,2017-04-09,712
2017,15,2017-04-16,712
2017,16,2017-04-23,713
2017,17,2017-04-30,712
2017,18,2017-05-07,712
2017,19,2017-05-14,712
2017,2,2017-01-15,451
2017,20,2017-05-21,712
2017,21,2017-05-28,713
2017,22,2017-06-04,714
2017,23,2017-06-11,712
2017,24,2017-06-18,712
2017,25,2017-06-25,712
2017,26,2017-07-02,712
2017,27,2017-07-09,712
2017,28,2017-07-16,713
2017,29,2017-07-23,712
2017,3,2017-01-22,452
2017,30,2017-07-30,712
2017,31,2017-08-06,712
2017,32,2017-08-13,712
2017,33,2017-08-20,712
2017,34,2017-08-27,712
2017,35,2017-09-03,713
2017,36,2017-09-10,712
2017,37,2017-09-17,712
2017,38,2017-09-24,713
2017,39,2017-10-01,711
2017,4,2017-01-29,452
2017,40,2017-10-08,712
2017,41,2017-10-15,713
2017,42,2017-10-22,713
2017,43,2017-10-29,712
2017,44,2017-11-05,713
2017,45,2017-11-12,712
2017,46,2017-11-19,712
2017,47,2017-11-26,713
2017,48,2017-12-03,712
2017,49,2017-12-10,712
2017,5,2017-02-05,452
2017,50,2017-12-17,713
2017,51,2017-12-24,712
2017,52,2017-12-31,711
2017,6,2017-02-12,451
2017,7,2017-02-19,453
2017,8,2017-02-26,451
2017,9,2017-03-05,712
2018,1,2018-01-07,671
2018,10,2018-03-11,671
2018,11,2018-03-18,670
2018,12,2018-03-25,670
2018,13,2018-04-01,670
2018,14,2018-04-08,670
2018,15,2018-04-15,670
2018,16,2018-04-22,671
2018,17,2018-04-29,670
2018,18,2018-05-06,674
2018,19,2018-05-13,675
2018,2,2018-01-14,670
2018,20,2018-05-20,674
2018,21,2018-05-27,674
2018,22,2018-06-03,675
2018,23,2018-06-10,674
2018,24,2018-06-17,674
2018,25,2018-06-24,675
2018,26,2018-07-01,673
2018,27,2018-07-08,674
2018,28,2018-07-15,675
2018,29,2018-07-22,674
2018,3,2018-01-21,670
2018,30,2018-07-29,674
2018,31,2018-08-05,675
2018,32,2018-08-12,675
2018,33,2018-08-19,673
2018,34,2018-08-26,674
2018,35,2018-09-02,665
2018,36,2018-09-09,663
2018,37,2018-09-16,664
2018,38,2018-09-23,665
2018,39,2018-09-30,663
2018,4,2018-01-28,671
2018,40,2018-10-07,663
2018,41,2018-10-14,665
2018,42,2018-10-21,663
2018,43,2018-10-28,664
2018,44,2018-11-04,665
2018,45,2018-11-11,663
2018,46,2018-11-18,663
2018,47,2018-11-25,665
2018,48,2018-12-02,334
2018,49,2018-12-09,336
2018,5,2018-02-04,670
2018,50,2018-12-16,335
2018,51,2018-12-23,355
2018,52,2018-12-30,364
2018,6,2018-02-11,670
2018,7,2018-02-18,670
2018,8,2018-02-25,671
2018,9,2018-03-04,670
2019,1,2019-01-06,363
2019,10,2019-03-10,617
2019,11,2019-03-17,619
2019,12,2019-03-24,617
2019,13,2019-03-31,618
2019,14,2019-04-07,618
2019,15,2019-04-14,617
2019,16,2019-04-21,618
2019,17,2019-04-28,619
2019,18,2019-05-05,616
2019,19,2019-05-12,619
2019,2,2019-01-13,365
2019,20,2019-05-19,618
2019,21,2019-05-26,618
2019,22,2019-06-02,617
2019,23,2019-06-09,618
2019,24,2019-06-16,618
2019,25,2019-06-23,617
2019,26,2019-06-30,604
2019,27,2019-07-07,579
2019,28,2019-07-14,580
2019,29,2019-07-21,580
2019,3,2019-01-20,363
2019,30,2019-07-28,581
2019,31,2019-08-04,580
2019,32,2019-08-11,580
2019,33,2019-08-18,580
2019,34,2019-08-25,580
2019,35,2019-09-01,579
2019,36,2019-09-08,580
2019,37,2019-09-15,582
2019,38,2019-09-22,579
2019,39,2019-09-29,580
2019,4,2019-01-27,508
2019,40,2019-10-06,581
2019,41,2019-10-13,579
2019,42,2019-10-20,579
2019,43,2019-10-27,581
2019,44,2019-11-03,580
2019,45,2019-11-10,580
2019,46,2019-11-17,581
2019,47,2019-11-24,650
2019,48,2019-12-01,650
2019,49,2019-12-08,649
2019,5,2019-02-03,620
2019,50,2019-12-15,650
2019,51,2019-12-22,651
2019,52,2019-12-29,650
2019,6,2019-02-10,617
2019,7,2019-02-17,616
2019,8,2019-02-24,620
2019,9,2019-03-03,617
2020,1,2020-01-05,649
2020,10,2020-03-08,1082
2020,11,2020-03-15,1112
2020,12,2020-03-22,1134
2020,13,2020-03-29,1219
2020,14,2020-04-05,1316
2020,15,2020-04-12,1317
2020,16,2020-04-19,1318
2020,17,2020-04-26,1316
2020,18,2020-05-03,893
2020,19,2020-05-10,891
2020,2,2020-01-12,650
2020,20,2020-05-17,892
2020,21,2020-05-24,892
2020,22,2020-05-31,872
2020,23,2020-06-07,822
2020,24,2020-06-14,830
2020,25,2020-06-21,607
2020,26,2020-06-28,592
2020,27,2020-07-05,562
2020,28,2020-07-12,591
2020,29,2020-07-19,619
2020,3,2020-01-19,650
2020,30,2020-07-26,620
2020,31,2020-08-02,621
2020,32,2020-08-09,620
2020,33,2020-08-16,620
2020,34,2020-08-23,612
2020,35,2020-08-30,621
2020,36,2020-09-06,622
2020,37,2020-09-13,623
2020,38,2020-09-16,267
2020,4,2020-01-26,829
2020,5,2020-02-02,987
2020,6,2020-02-09,1001
2020,7,2020-02-16,988
2020,8,2020-02-23,1006
2020,9,2020-03-01,1004
