Month,Week Number,TOTAL TESTED,Weekly Average,Confirmed Case,CUMULATIVE CASES,Death,CUMULATIVE DEATHES,CFR (%),Recovery,CUMULATIVE RECOVERY,Positivity (%),State
March,Week-12,1,0,1,1,0,0,0,1,1,100,BANADIR
March,Week-13,2,0,2,3,0,0,0,2,3,100,BANADIR
March,Week-14,0,0,0,3,0,0,NA,NA,NA,NA,BANADIR
April,Week-15,48,7,15,18,1,1,7,15,NA,31,BANADIR
April,Week-16,137,20,105,123,9,10,9,96,NA,77,BANADIR
April,Week-17,428,61,299,422,16,26,5,283,NA,70,BANADIR
April,Week-18,449,64,256,678,15,41,6,241,NA,57,BANADIR
May,Week-19,460,66,201,879,7,48,3,195,NA,44,BANADIR
May,Week-20,495,71,161,1040,3,51,2,65,NA,33,BANADIR
May,Week-21,343,49,82,1122,2,53,2,9,NA,24,BANADIR
May,Week-22,92,13,49,1171,0,53,0,1,NA,53,BANADIR
May,Week-23,357,51,133,1304,1,54,1,1,NA,37,BANADIR
June,Week-24,427,61,77,1381,0,54,0,0,NA,18,BANADIR
June,Week-25,182,26,18,1399,0,54,0,0,NA,10,BANADIR
June,Week-26,173,25,26,1425,0,54,0,0,NA,15,BANADIR
June,Week-27,143,20,11,1436,1,55,9,0,NA,8,BANADIR
July,Week-28,267,38,27,1463,0,55,0,0,NA,10,BANADIR
July,Week-29,563,80,33,1496,0,55,0,,NA,6,BANADIR
July,Week-30,624,89,17,1513,0,55,0,,NA,3,BANADIR
July,Week-31,627,90,6,1519,0,55,0,,NA,1,BANADIR
August,Week-32,1007,144,0,1519,0,55,NA,,NA,0,BANADIR
August,Week-33,,,,,,,,,,,BANADIR
August,Week-34,,,,,,,,,,,BANADIR
August,Week-35,,,,,,,,,,,BANADIR
August,Week-36,,,,,,,,,,,BANADIR
March,Week-12,0,0,0,0,0,0,NA,1,1,NA,SOMALILAND
March,Week-13,0,0,0,0,0,0,NA,2,3,NA,SOMALILAND
March,Week-14,47,7,5,5,0,0,0,NA,NA,11,SOMALILAND
April,Week-15,65,9,0,5,0,0,NA,15,NA,0,SOMALILAND
April,Week-16,30,4,1,6,0,0,0,96,NA,3,SOMALILAND
April,Week-17,21,3,0,6,0,0,NA,283,NA,0,SOMALILAND
April,Week-18,104,15,14,20,1,1,7,241,NA,13,SOMALILAND
May,Week-19,102,15,24,44,3,4,13,195,NA,24,SOMALILAND
May,Week-20,166,24,60,104,8,12,13,65,NA,36,SOMALILAND
May,Week-21,185,26,71,175,3,15,4,9,NA,38,SOMALILAND
May,Week-22,225,32,111,286,5,20,5,1,NA,49,SOMALILAND
May,Week-23,127,18,127,413,2,22,2,1,NA,100,SOMALILAND
June,Week-24,137,20,137,550,3,25,2,0,NA,100,SOMALILAND
June,Week-25,91,13,91,641,1,26,1,0,NA,100,SOMALILAND
June,Week-26,63,9,63,704,0,26,0,0,NA,100,SOMALILAND
June,Week-27,372,53,51,755,1,27,2,0,NA,14,SOMALILAND
July,Week-28,323,46,30,785,0,27,0,0,NA,9,SOMALILAND
July,Week-29,262,37,24,809,0,27,0,NA,NA,9,SOMALILAND
July,Week-30,268,38,33,842,0,27,0,NA,NA,12,SOMALILAND
