States,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Northern,720907,740768,764451,788750,813685,835283,860950,887011,913533,936255
River Nile,1157917,1191813,1229916,1269010,1309129,1346148,1387513,1429513,1472257,1511442
Red Sea,1307840,1316920,1328446,1346133,1366991,1402082,1414417,1445353,1447787,1482053
Kassala,1821406,1909534,1987572,2061266,2133663,2207533,2283054,2360083,2438808,2519071
Al Gedarif,1419485,1494704,1573070,1654621,1739478,1827181,1917919,2011614,2108468,2208385
Khartoum,5515257,5758234,6006885,6267930,6534795,6809046,7095148,7385158,7687547,7993851
Al Gezira,3709800,3845407,3988735,4133048,4285408,4441168,4600700,4759764,4926555,5096920
White Nile,1795888,1866734,1936609,2012188,2086650,2162786,2244619,2324444,2410260,2493880
Sinnar,1339739,1395935,1454155,1517905,1580357,1644463,1710369,1777982,1847458,1918692
Blue Nile,858071,882337,910546,935983,965573,991898,1022378,1049366,1080743,1108391
North Kordofan ,2953804,2986117,3017033,3046326,3073921,3098750,3120942,3140177,3160663,3174029
South Kordofan ,1598117,1649443,1702177,1756282,1811805,1868199,1925606,1983895,2047294,2107623
North Darfur,2140392,2163041,2188028,2208499,2231305,2248551,2267680,2280885,2296068,2304950
West Darfur,1349308,1392643,1437168,1482849,1529728,1577342,1625811,1675025,1725110,1775945
South Darfur,4210607,4329375,4450803,4574748,4701291,4828978,4958148,5088433,5220191,5353025
SUDAN,31898536,32923005,33975593,35055538,36163778,37289406,38435252,39598700,40782742,419845
