data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7918374,706,SOM33687,33687,"22 April 2021",2021,1,"Violence against civilians",Attack,"Al Shabaab",,2,"Civilians (Somalia)","Government of Somalia (2017-)",7,27,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Karan",2.0652,45.39,1,"Somali Memo",National,"On 22 April 2021, suspected Al Shabaab militants shot and killed a Warshiikh district officer in Mogadishu - Karan district (Banadir).",1,1619476353,SOM
7918375,706,SOM33686,33686,"22 April 2021",2021,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Banadir,Hodan,,"Mogadishu - Hodan",2.0333,45.35,1,"Somali Memo",National,"On 22 April 2021, suspected Al Shabaab militants shot and killed a government soldier (Gorgor) on foot patrol at Haantadheer village in Mogadishu - Hodan district (Hodan, Banadir).",1,1619476353,SOM
7918477,706,SOM33684,33684,"22 April 2021",2021,1,Battles,"Armed clash","Military Forces of Somalia (2017-)",,1,"Police Forces of Somalia (2017-)",,1,11,"Eastern Africa",Somalia,Bay,Baydhaba,,Baidoa,3.1172,43.6469,1,"Undisclosed Source","Local partner-Other","On 22 April 2021, government security forces (SNA) clashed with local police forces (SWSPF) at a food distribution site near Hanaano village in Baidoa town (Baydhaba, Bay). The SNA soldiers attempted to forcefully breach the security of the food distribution site. No fatalities and/or injuries reported.",0,1619476353,SOM
7918512,706,SOM33688,33688,"22 April 2021",2021,1,"Violence against civilians",Attack,"Military Forces of Somalia (2017-) National Intelligence and Security Agency",,1,"Civilians (Somalia)","Labour Group (Somalia)",7,17,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Waaberi",2.0195,45.31,1,"Undisclosed Source","Local partner-Other","On 22 April 2021, government security forces (NISA) attacked workers at the immigration department in Aden Adde international airport in Mogadishu - Waaberi district (Banadir). The motive of the attack is unknown. No fatalities and/or injuries reported.",0,1619476354,SOM
7918532,706,SOM33685,33685,"22 April 2021",2021,1,"Violence against civilians",Attack,"Al Shabaab",,2,"Civilians (Somalia)","Health Workers (Somalia)",7,27,"Eastern Africa",Somalia,Banadir,Banadir,,Mogadishu,2.0414,45.3337,1,VOA,International,"On 22 April 2021, suspected Al Shabaab militants shot and killed a senior doctor in Aiynushams hotel near Al-baraka village in Mogadishu city (Banadir).",1,1619476354,SOM
7917932,706,SOM33683,33683,"21 April 2021",2021,1,"Explosions/Remote violence","Air/drone strike","Military Forces of the United States (2021-)","Military Forces of Somalia (2017-)",8,"Al Shabaab",,2,28,"Eastern Africa",Somalia,"Lower Shabelle",Qoryooley,,Ugunji,1.8734,44.7208,1,Caasimada,National,"On 21 April 2021, US forces in coordination with government security forces (SNA) conducted an airstrike targeting an Al Shabaab checkpoint at Ugunji village (Qoryooley, Lower Shabelle). Two militants were killed.",2,1619476352,SOM
7917933,706,SOM33679,33679,"21 April 2021",2021,1,"Explosions/Remote violence","Air/drone strike","Military Forces of the United States (2021-)","Military Forces of Somalia (2017-)",8,"Al Shabaab",,2,28,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Janaale,1.8,44.7,2,Caasimada,National,"On 21 April 2021, US forces in coordination with government security forces (SNA) conducted an airstrike targeting an Al Shabaab militants checkpoint in Tawakal village near Janaale town (Marka, Lower Shabelle). One militant was killed.",1,1619476352,SOM
7918466,706,SOM33680,33680,"21 April 2021",2021,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Al Shabaab",,2,"Civilians (Somalia)","Students (Somalia); Refugees/IDPs (Somalia); Government of Somalia (2017-)",7,27,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Bondhere",2.0456,45.34,1,"Undisclosed Source","Local partner-Other","On 21 April 2021, Al Shabaab militants fired approximately five mortar shells, targeting Villa Somalia, with one mortar landing inside an IDP settlement near Godka Jilacow prison neighborhoods in Mogadishu - Bondhere district (Banadir). Three students were killed and injuring six others injured.",3,1619476353,SOM
7918476,706,SOM33682,33682,"21 April 2021",2021,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Yaqshid",2.0678,45.35,1,"Undisclosed Source","Local partner-Other","On 21 April 2021, Al Shabaab militants threw a hand grenade at the district commissioner's office in Mogadishu - Yaqshid district (Banadir). The security forces reacted with gunfire after the explosion. No fatalities and/or injuries reported.",0,1619476353,SOM
7918516,706,SOM33681,33681,"21 April 2021",2021,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,"Mogadishu - Daynile",2.0581,45.3003,1,"Undisclosed Source","Local partner-Other","On 21 April 2021, Al Shabaab militants carried out a hit and run attack against government security forces (SNA) at a checkpoint in the Tiida neighborhood in Mogadishu - Daynile district (Afgooye, Lower Shabelle). No fatalities and/or injuries reported.",0,1619476354,SOM
7918449,706,SOM33673,33673,"20 April 2021",2021,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Baraawe,,Baraawe,1.1132,44.0297,2,"Undisclosed Source","Local partner-Other","On 20 April 2021, Al Shabaab militants attacked government security forces (SNA) in Buulo-Colow village near Baraawe town (Baraawe, Lower Shabelle). At least one SNA soldier was injured.",0,1619476353,SOM
7918454,706,SOM33676,33676,"20 April 2021",2021,1,"Violence against civilians",Attack,"Al Shabaab",,2,"Civilians (Somalia)","Government of Somalia (2017-)",7,27,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Dhagahtur,2.1436,45.1165,2,"Undisclosed Source","Local partner-Other","On 20 April 2021, Al Shabaab militants shot and killed a senior member of the Afgooye administration in the vicinity of Dhagahtur village (Afgooye, Lower Shabelle).",1,1619476353,SOM
7918481,706,SOM33674,33674,"20 April 2021",2021,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Belet Weyne",4.736,45.2043,1,"Undisclosed Source","Local partner-Other","On 20 April 2021, suspected Al Shabaab militants attacked a government soldier (SNA) in the Bacaadaha neighborhood of Heegan section in Hawlwadaag village in Belet Weyne town (Belet Weyne, Hiraan). No fatalities and/or injuries reported.",0,1619476353,SOM
7918501,706,SOM33677,33677,"20 April 2021",2021,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Bakool,Xudur,,Hudur,4.1237,43.8915,1,"Undisclosed Source","Local partner-Other","On 20 April 2021, Al Shabaab militants carried out a probing attack against government security forces (SNA) in Hudur town (Xudur, Bakool). A child was injured by a stray bullet from the AS.",0,1619476353,SOM
7918502,706,SOM33675,33675,"20 April 2021",2021,1,Riots,"Violent demonstration","Rioters (Somalia)","Women (Somalia)",5,"Police Forces of Somaliland (2010-)",,1,15,"Eastern Africa",Somalia,Togdheer,Burco,,Burco,9.745,45.634,1,"Undisclosed Source","Local partner-Other","On 20 April 2021, residents, mainly women and children, staged a demonstration after the Somaliland military court sentenced a senior military colonel to two years imprisonment in Burco town (Burco, Togdheer). He was accused of the SLA strike in February 2021 and of leaking military information to government of Somalia. The demonstrators burned tires on the streets, the police dispersed the demonstrators. [size=no report]",0,1619476353,SOM
7918535,706,SOM33678,33678,"20 April 2021",2021,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Civilians (Somalia)","Government of Somalia (2017-)",7,27,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Yaqshid",2.0678,45.35,1,VOA,International,"On 20 April 2021, an IED by Al Shabaab militants detonated, targeting the Dayniile deputy district commissioner's convoy at the Darussalam neighborhood in Mogadishu - Yaqshid (Banadir). The commissioner was killed and at least three escorting soldiers were injured.",1,1619476354,SOM
7918442,706,SOM33671,33671,"19 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Somalia)",,6,,,0,60,"Eastern Africa",Somalia,Banadir,Hodan,,"Mogadishu - Hodan",2.0333,45.35,1,"Undisclosed Source","Local partner-Other","On 19 April 2021, over a hundred people protested against the term extension by the federal government at Shirkoole village neighborhood in Mogadishu - Hodan district (Hodan, Banadir), and demanded an election. [size=over a hundred]",0,1619476353,SOM
7917935,706,SOM33670,33670,"19 April 2021",2021,1,Battles,"Armed clash","Al Shabaab",,2,"Police Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Hawl Wadaag",2.048,45.32,1,Calamada,National,"On 19 April 2021, Al Shabaab militants shot and killed a municipal police officer who was collecting taxi revenue in the vicinity of Bakaro junction road market in Mogadishu - Hawl Wadaag district (Banadir).",1,1619476352,SOM
7918483,706,SOM33669,33669,"19 April 2021",2021,1,Battles,"Armed clash","Unidentified Armed Group (Somalia)",,3,"Military Forces of Somalia (2017-)",,1,13,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,"Mogadishu - Dharkenley",2.0095,45.25,1,"Undisclosed Source","Local partner-Other","On 19 April 2021, suspected Al Shabaab militants threw a hand grenade at government soldiers (NISA) on foot patrol at the Foorilow village neighborhood in Mogadishu - Dharkenley (Afgooye, Lower Shabelle). One soldier was killed.",1,1619476353,SOM
7918513,706,SOM33672,33672,"19 April 2021",2021,1,Battles,"Armed clash","Al Shabaab",,2,"Police Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Mukaiga,2.1517,45.0686,1,"Undisclosed Source","Local partner-Other","On 19 April 2021, Al Shabaab militants attacked government police forces at a checkpoint at Mukaiga village (Afgooye, Lower Shabelle). No fatalities and/or injuries reported.",0,1619476354,SOM
