STATE,REGION,DISTRICT,ADM1_VIZ_N,ADM2_VIZ_N,REGION CODE,DISRICT CODE,REG-DIST,Total Pop,Positivity,Attack rate per 100K,Number of Cases,Total Tested,Increase or decrease from mean
Banadir,BANADIR,MEDINA,Banadir,Madina (Wadajir),BAN,MDN,BAN-MDN,"178,751",16,182,326,1391,1
Banadir,BANADIR,WARDEGLY,Banadir,Wardegly,BAN,WDA,BAN-WDA,"131,768",25,131,172,699,-1
Banadir,BANADIR,WABERI,Banadir,Waberi,BAN,WBR,BAN-WBR,"95,945",33,110,106,451,-1
Puntland,NUGAL,GAROWE,Nugal,Garowe,NUG,GRW,NUG-GRW,"211,290",23,108,229,429,1
Banadir,BANADIR,HODAN,Banadir,Hodan,BAN,HDN,BAN-HDN,"239,557",12,102,244,1166,-1
Somaliland,SAHIL,BERBERA,Sahil,Berbera,SAH,BER,SAH-BER,"160,711",45,87,140,179,-1
Galmudug State,GALGADUD,ADADO,Galgadud,Adado,GDD,ADD,GDD-ADD,"74,768",38,86,64,227,-1
Banadir,BANADIR,HAMAR JABJAB,Banadir,Hamar Jabjab,BAN,HJB,BAN-HJB,"90,939",43,76,69,227,-1
Banadir,BANADIR,BONDERE,Banadir,Bondere,BAN,BDB,BAN-BDB,"104,787",35,72,75,238,-1
Banadir,BANADIR,HAWAL WADAG,Banadir,Hawal Wadag,BAN,HWL,BAN-HWL,"113,161",23,67,76,396,-1
Somaliland,GALBEED,HARGEISA,Galbeed,Hargeisa,WGB,HAR,WGB-HAR,"884,600",6,64,570,1087,1
South West State,LOWER SHABELLE,BRAVA,Lower Shabelle,Brava,LSH,BRV,LSH-BRV,"54,775",130,64,35,49,-1
Banadir,BANADIR,ABDUL AZIZ,Banadir,Abdul Aziz,BAN,ADA,BAN-ADA,"55,641",56,59,33,124,-1
Jubaland State,LOWER JUBA,KISMAYO,Lower Juba,Kismayo,LJB,KIS,LJB-KIS,"303,701",12,52,158,447,-1
Banadir,BANADIR,DANYILE,Banadir,DAYNILE,BAN,DYN,BAN-DYN,"150,452",18,45,68,313,-1
Banadir,BANADIR,HAMAR WEYNE,Banadir,Hamar Weyn,BAN,HMW,BAN-HMW,"95,512",25,44,42,219,-1
Banadir,BANADIR,DHARKENLEY,Banadir,Dharkenly,BAN,DRK,BAN-DRK,"252,613",12,39,98,461,-1
Banadir,BANADIR,SHANGANI,Banadir,Shangani,BAN,SHN,BAN-SHN,"41,772",56,38,16,72,-1
Banadir,BANADIR,KARAN,Banadir,Karan,BAN,KRN,BAN-KRN,"251,825",13,35,88,304,-1
Puntland,KARKAR,WACIYA,Karkar,Waciya,KRK,WAY,KRK-WAY,"38,434",130,31,12,24,-1
Banadir,BANADIR,SHIBIS,Banadir,Shibis,BAN,SBS,BAN-SBS,"160,469",15,28,45,247,-1
